data set;kmedoids;hclust;cluto;sec
KRFP;0,276716052;0,277366292;0,304943132;0,289371372
extended;0,241721188;0,245594184;0,250098271;0,260418985
pubchem;0,152072973;0,148545155;0,149016403;0,140628445
maccs;0,20785206;0,239836872;0,236603995;0,179310751
5-HT1a-KRFP;0,003137384;0,004779653;0,00969643;-0,001530557
5-HT2a-KRFP;0,000528083;0,00234928;0,005150236;0,011222652
5-HT2b-KRFP;0,015035021;-0,007991815;0,033238657;0,054438377
5-HT2c-KRFP;0,00340148;0,006514396;0,029769949;0,054771704
5-HT5a-KRFP;0,153163492;0,19384377;0,179450186;-0,001304152
5-HT6-KRFP;-0,009685032;0,039075146;0,002188893;0,13924611
5-HT1a-extended;0,379129328;0,998960383;1;0,776336704
5-HT2a-extended;-0,000654287;0,006204451;-0,00225408;0,003878189
5-HT2b-extended;0,003022405;0,0057117;0,000838327;0,001218206
5-HT2c-extended;0,008682066;0,002582801;0,005373636;0,010617766
5-HT5a-extended;0,102618969;0,19216245;0,071273163;0,052537668
5-HT6-extended;-0,027662997;-0,092361885;-0,071024011;-0,084011604
farm-ads;0,008768002;0,004873016;0,000982666;0,105266121
questions;0,031041662;0,016018913;0,054101703;0,019808665
sentiment;0,013897554;0,00618044;0,010988158;0,007149286
20newsgroups;0,102566628;0,203315021;0,275273669;0,587780857
